Year,Percent Employment in Agriculture
1998-01-01,60.68718
1999-01-01,60.10669
2000-01-01,59.64473
2001-01-01,59.08598
2002-01-01,58.44382
2003-01-01,57.7151
2004-01-01,56.75876
2005-01-01,55.99824
2006-01-01,55.09983
2007-01-01,54.17196
2008-01-01,53.3906
2009-01-01,52.47509
2010-01-01,51.51537
2011-01-01,49.25777
2012-01-01,47.00424
2013-01-01,46.42778
2014-01-01,45.7835
2015-01-01,45.15931
2016-01-01,44.52136
2017-01-01,43.93962
2018-01-01,43.32882
2019-01-01,41.38738
2020-01-01,44.30447
